# Base Pair	Mean Quality Score
0	31.3
1	31.4
2	35.3
3	35.9
4	36.1
5	39.6
6	39.7
7	39.8
8	40.0
9	40.1
10	40.1
11	40.1
12	40.1
13	40.1
14	40.1
15	40.1
16	40.0
17	40.0
18	40.0
19	40.0
20	40.0
21	40.0
22	40.0
23	40.0
24	40.0
25	40.0
26	39.9
27	39.9
28	39.9
29	39.9
30	39.8
31	39.9
32	39.9
33	39.9
34	39.9
35	39.9
36	39.9
37	39.9
38	39.9
39	39.9
40	39.9
41	39.8
42	39.8
43	39.8
44	39.7
45	39.8
46	39.8
47	39.8
48	39.8
49	39.8
50	39.8
51	39.8
52	39.7
53	39.7
54	39.7
55	39.7
56	39.7
57	39.7
58	39.7
59	39.7
60	39.6
61	39.6
62	39.6
63	39.6
64	39.6
65	39.6
66	39.6
67	39.6
68	39.5
69	39.4
70	39.5
71	39.5
72	39.5
73	39.4
74	39.4
75	39.4
76	38.6
77	39.1
78	39.2
79	39.2
80	39.3
81	39.3
82	39.3
83	39.3
84	39.3
85	39.3
86	39.2
87	39.1
88	39.1
89	39.1
90	39.1
91	39.1
92	39.0
93	39.0
94	38.9
95	38.9
96	38.9
97	38.7
98	38.8
99	38.8
100	37.7
# Base Pair	Mean Quality Score
0	31.0
1	31.4
2	35.3
3	35.9
4	36.0
5	39.3
6	39.1
7	39.0
# Base Pair	Mean Quality Score
0	31.0
1	30.5
2	34.0
3	35.2
4	35.3
5	38.5
6	37.4
7	37.9
# Base Pair	Mean Quality Score
0	30.2
1	30.8
2	33.8
3	34.6
4	35.1
5	38.0
6	38.0
7	38.2
8	38.4
9	38.3
10	38.4
11	38.5
12	38.3
13	38.4
14	38.2
15	38.0
16	38.1
17	38.3
18	38.1
19	38.2
20	38.0
21	38.0
22	38.2
23	38.2
24	38.2
25	38.2
26	38.2
27	38.2
28	38.2
29	38.1
30	38.0
31	37.7
32	37.6
33	37.4
34	37.2
35	37.1
36	37.1
37	37.1
38	37.1
39	37.5
40	37.7
41	37.8
42	37.8
43	38.0
44	38.0
45	38.0
46	38.0
47	38.0
48	38.0
49	37.9
50	38.0
51	38.0
52	38.0
53	37.8
54	37.9
55	37.9
56	38.0
57	37.9
58	37.8
59	37.8
60	37.8
61	37.8
62	37.8
63	37.7
64	37.8
65	37.7
66	37.8
67	37.7
68	37.6
69	37.7
70	37.7
71	37.6
72	37.5
73	37.5
74	37.5
75	37.4
76	36.5
77	36.9
78	37.3
79	37.4
80	37.5
81	37.5
82	37.6
83	37.5
84	37.4
85	37.4
86	37.3
87	37.3
88	37.3
89	37.2
90	37.2
91	37.1
92	37.1
93	37.0
94	36.9
95	36.9
96	36.9
97	36.8
98	36.5
99	36.6
100	34.7
